Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,type
2019,4.3,4.3,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.6,3.6,URSA
2020,3.5,3.4,4.1,15,18.3,20.3,19.9,16,13.9,13.2,,,URSA
