Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,34.5,34.6,34.8,34.8,34.6,35.6,34.8,34.9,35.4,34.7,34.6,35.4
2020,34.6,35.4,35,33.9,34.6,34.5,34.5,35.8,34.8,35.1,,
