Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,164.1,165,165.6,164.9,165.7,166.2,168.5,167.7,167.6,167.9,168.3,169.1
2020,168.4,168.2,167.7,165.5,164.1,165.3,166.1,165.5,165.6,165.6,,
