Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,72.3,72.6,72.8,73.6,73.4,73.8,74.8,75.5,73.9,73.9,73.8,73.4
2020,72.3,73.4,73.2,69.9,69.2,68.9,69.2,67.3,67.6,68.7,,
