Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,159,170,170.3,171.6,168.7,157.3,151.7,156.3,169.2,176.8,178.7,179.1
2020,173.6,182.1,179.5,166.8,162.7,157.3,147.9,148.1,151.3,155.4,,
