Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,338.1,339,338.4,339.1,340.1,341,343.1,343.3,340.8,343.5,344.3,345.2
2020,342.8,345.8,346.9,329.5,330.1,331.4,337.4,335.8,332.6,337.5,,
