Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,61.7,62.2,61.9,62.6,62.8,62.4,63.2,63.2,62.4,62.6,62.8,64
2020,63.1,64.1,63.4,62,61.8,62.8,63.2,63.7,63.7,65.1,,
