Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,152.4,152.6,152.4,152.3,152,152.5,152.5,152.6,152.5,153.2,153.6,154
2020,152.3,152.6,153.5,155.8,154.9,155.1,154.1,154.1,153.4,153.2,,
