Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,4.6,4.2,4.1,3.7,3.7,4.1,4.5,4.3,3.9,3.9,3.8,3.6
2020,4.1,4.1,5.9,18.8,19.3,18.1,17,15,13.6,,,
