Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,479.9,489.5,493.8,493.7,496,496.9,488.2,483.5,497.8,509,513,509.4
2020,489.6,499.3,503.8,486.4,477.7,472.8,419.9,447.8,492.5,487.0,,
