Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,475.9,478.2,478.2,477.5,478.3,486.7,490.9,491.4,481.6,482.8,483.1,483.7
2020,475.3,477.7,462,455.6,453.8,453.9,456.1,460.8,456.4,453.6,,
