Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,571.7,578.4,581.5,583,584.1,583.4,536.6,539.3,567.9,581.9,586.5,584.6
2020,578,588.6,593.6,572.5,558.6,555,501.9,502.0,544.3,555.2,,
