Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,248.6,273.1,274.8,276.1,265.5,239.3,225.9,223.2,246.9,262.5,267,263.9
2020,246.3,260.7,260.2,226.7,221.8,212.4,208.9,208.0,209.4,225.2,,
