Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,33.6,33.8,33.7,33.7,33.7,34.3,33.8,33.9,34.1,33.4,33.4,34.1
2020,33.3,33.9,33.6,32.8,33.1,33.2,33.5,34.3,33.7,33.6,,
